method,perf,perf+,perf-,fail,fail+,fail-
debsl,0.4,0.6,0.4,156.4,3.6,3.4
samoyed,60.3,5.7,6.3,20.0,0.1,0.0
debsh,92.6,8.4,6.6,0.0,0.0,0.0
adaptive,106.8,10.2,5.8,0.0,0.0,0.0
