capacitance,opta_perf,opta_thresh,debs_perf,debs_thresh
2.7,60,2.48,0,1.93
3.8,60.6,2.35,0,1.93
5.0,60.6,2.27,0,1.93
6.2,61.4,2.22,0,1.93
7.5,60,2.18,0,1.93
8.7,59.2,2.18,0,1.93
10.2,60,2.15,64.2,1.93
11.7,62,2.15,63.8,1.93
