v i1 i2
0.100	19.837	128.274
0.200	18.211	121.908
0.300	17.805	117.543
0.400	18.079	122.799
0.500	16.579	118.210
0.600	17.391	121.171
0.700	16.272	116.413
0.800	16.676	119.357
0.900	15.504	113.769
1.000	15.593	113.504
1.100	16.106	118.830
1.200	15.416	113.744
1.300	15.310	111.943
1.400	15.759	117.111
1.500	15.054	112.410
1.600	15.827	116.136
1.700	14.922	111.887
1.800	15.607	115.203
1.900	14.786	108.402
2.000	15.597	115.501
2.100	14.623	107.131
2.200	14.415	108.289
2.300	15.261	112.426
2.400	14.222	105.782
2.500	15.134	112.386
2.600	14.260	104.760
2.700	13.985	103.903
2.800	14.858	110.502
2.900	14.000	102.546
3.000	14.688	107.818
3.100	13.558	101.448
3.200	13.609	100.006
3.300	14.101	105.247
3.400	13.499	98.067
3.500	13.946	103.354
3.600	13.122	93.962
3.700	13.263	94.059
3.800	13.890	98.073
3.900	13.374	94.956
4.000	12.581	87.496
4.100	12.076	86.145
4.200	12.418	86.212
4.300	11.082	78.231
4.400	10.447	78.608
4.500	7.943	69.113
4.600	5.304	63.752
4.700	1.666	60.774
